doc,page,seconds,chars,ascii,compile,undefined,err
naive,1,7,867,PASS,FAIL,ding,
naive,2,5,800,PASS,FAIL,ding,
naive,3,3,464,PASS,PASS,,
naive,4,3,397,PASS,PASS,,
naive,5,5,673,PASS,FAIL,includegraphics,
naive,6,6,832,PASS,FAIL,includegraphics pentagon square triangle,
naive,7,5,510,PASS,PASS,,
naive,8,6,619,PASS,PASS,,
naive,9,5,574,PASS,FAIL,,
naive,10,4,516,PASS,PASS,,
naive,11,3,359,PASS,PASS,,
naive,12,4,559,PASS,PASS,,
naive,13,3,481,PASS,PASS,,
naive,14,5,598,PASS,PASS,,
naive,15,4,523,PASS,PASS,,
naive,16,4,582,PASS,PASS,,
naive,17,4,570,PASS,PASS,,
naive,18,5,655,PASS,PASS,,
naive,19,4,484,PASS,PASS,,
naive,20,4,418,PASS,PASS,,
naive,21,6,748,PASS,FAIL,draw node,
naive,22,3,185,PASS,PASS,,
cheng16,1,5,535,PASS,PASS,,
cheng16,2,4,393,PASS,PASS,,
cheng16,3,5,652,PASS,PASS,,
cheng16,4,4,560,PASS,PASS,,
cheng16,5,4,488,PASS,PASS,,
cheng16,6,4,334,PASS,PASS,,
cheng16,7,6,665,PASS,PASS,,
cheng16,8,6,661,PASS,PASS,,
cheng16,9,6,519,PASS,PASS,square,
cheng16,10,8,795,PASS,PASS,,
cheng16,11,6,529,PASS,PASS,,
cheng16,12,5,344,PASS,PASS,,
cheng16,13,7,522,PASS,FAIL,includegraphics,
cheng16,14,8,421,PASS,PASS,,
cheng16,15,8,420,PASS,PASS,,
cheng16,16,12,562,PASS,PASS,bullet longleftrightarrow,
cheng16,17,12,503,PASS,PASS,,
cheng16,18,10,393,PASS,PASS,,
cheng16,19,15,729,PASS,PASS,,
cheng16,20,11,508,PASS,PASS,,
cheng16,21,9,496,PASS,PASS,,
cheng16,22,11,875,PASS,PASS,,
cheng16,23,10,668,PASS,FAIL,includegraphics,
cheng16,24,9,499,PASS,PASS,,
cheng16,25,8,497,PASS,PASS,,
cheng16,26,5,171,PASS,PASS,,
topology,1,10,611,PASS,PASS,,
topology,2,16,906,PASS,PASS,,
topology,3,7,390,PASS,PASS,boxed,
topology,4,12,646,PASS,PASS,checkmark,
topology,5,10,437,PASS,PASS,,
topology,6,35,1662,PASS,PASS,,
topology,7,34,1828,PASS,PASS,mathscr,
topology,8,23,1456,PASS,PASS,,
teams,1,8,677,PASS,PASS,,
teams,2,16,1215,PASS,FAIL,fbox parbox phantom,
teams,3,4,349,PASS,PASS,,
teams,4,8,488,PASS,PASS,,
teams,5,6,520,PASS,PASS,,
teams,6,9,735,PASS,PASS,Large,
teams,7,7,649,PASS,PASS,,
teams,8,4,315,PASS,PASS,,
teams,9,7,380,PASS,PASS,hrulefill,
teams,10,8,592,PASS,PASS,Are But Comprehensively With,
