page,boxes,fab_unmasked,fab_masked,prose_kept,len_unmasked,len_masked,seconds
1,3,6,9,0.57,830,603,20
2,6,6,0,0.78,724,831,16
3,0,,,,,,2
4,3,10,0,0.86,603,624,12
5,30,2,0,0.71,606,778,31
6,14,2,0,0.87,531,441,18
7,1,4,2,0.93,354,350,8
8,1,5,5,1.0,493,493,10
9,1,8,0,0.93,588,434,10
10,1,4,0,0.0,1633,19,19
11,0,,,,,,2
12,0,,,,,,3
13,3,3,20,0.48,1597,13496,265
14,8,0,0,0.87,731,657,28
15,1,0,0,0.73,836,518,17
16,3,4,0,0.74,1459,511,26
17,3,0,0,0.3,1003,160,18
18,1,0,0,1.0,531,518,15
19,4,2,1,0.59,802,484,22
